customer_id,signup_date,tenure_days,recency,frequency,monetary_value,web_sessions,page_views,cart_additions,click_through_rate,churn
CUST_00000,2026-04-06,117,9,8,280.68,16,160,6,0.3336,0
CUST_00001,2025-05-08,450,11,6,142.82,24,144,4,0.6029,0
CUST_00002,2025-10-20,285,55,8,482.88,40,360,6,0.1899,0
CUST_00003,2026-04-02,121,110,6,262.59,42,378,6,0.1918,1
CUST_00004,2026-05-07,86,3,7,277.74,14,126,5,0.2508,0
CUST_00005,2024-08-16,715,62,11,470.13,66,462,10,0.0862,0
CUST_00006,2026-06-27,35,30,5,204.99,30,300,5,0.1982,1
CUST_00007,2024-11-10,629,78,2,45.25,12,108,3,0.3383,1
CUST_00008,2026-03-18,136,24,5,224.45,20,80,4,0.0919,0
CUST_00009,2025-04-07,481,1,6,73.47,30,240,5,0.3684,0
CUST_00010,2025-12-15,229,51,5,185.59,10,50,4,0.3761,1
CUST_00011,2025-08-21,345,74,7,170.48,28,196,7,0.2298,1
CUST_00012,2025-04-15,473,104,9,283.11,36,108,6,0.4459,1
CUST_00013,2026-04-21,102,37,6,101.25,12,108,3,0.4483,0
CUST_00014,2025-07-10,387,5,8,362.99,48,144,5,0.3071,0
CUST_00015,2026-04-09,114,20,7,324.42,14,84,5,0.4786,0
CUST_00016,2024-09-22,678,69,9,427.79,63,252,6,0.0842,0
CUST_00017,2026-03-09,145,30,6,262.03,24,96,5,0.2938,0
CUST_00018,2024-09-24,676,54,12,421.36,48,528,10,0.1729,0
CUST_00019,2025-09-12,323,1,3,39.11,21,105,5,0.0896,0
CUST_00020,2025-08-08,358,3,6,193.7,24,72,7,0.5068,0
CUST_00021,2025-03-13,506,51,5,126.14,20,160,5,0.097,0
CUST_00022,2025-05-30,428,15,9,405.18,45,405,8,0.285,0
CUST_00023,2025-06-27,400,22,7,231.93,14,84,7,0.2823,0
CUST_00024,2026-01-07,206,46,4,190.64,28,252,5,0.4378,1
CUST_00025,2025-10-14,291,5,7,307.94,35,350,3,0.1431,0
CUST_00026,2026-02-07,175,80,6,277.55,18,144,6,0.0851,1
CUST_00027,2025-04-14,474,7,8,393.51,48,288,8,0.1551,0
CUST_00028,2025-09-07,328,59,5,275.74,35,140,6,0.2381,1
CUST_00029,2026-06-26,36,15,7,219.5,49,294,5,0.3963,0
CUST_00030,2025-11-07,267,13,5,312.89,35,315,4,0.2256,0
CUST_00031,2025-01-03,575,77,12,410.44,60,300,9,0.263,0
CUST_00032,2025-03-30,489,36,7,446.43,35,385,5,0.2181,0
CUST_00033,2026-05-20,73,10,6,216.78,30,150,6,0.183,0
CUST_00034,2025-02-22,525,1,12,426.93,36,108,9,0.2858,0
CUST_00035,2024-09-04,696,162,10,521.29,20,180,6,0.3223,1
CUST_00036,2025-03-29,490,25,10,379.09,40,120,9,0.3569,0
CUST_00037,2024-08-17,714,22,5,175.32,10,90,3,0.4002,0
CUST_00038,2026-01-09,204,2,4,123.55,16,112,6,0.4769,0
CUST_00039,2024-08-30,701,101,4,165.23,8,64,4,0.1365,1
CUST_00040,2025-01-01,577,6,10,285.41,70,700,7,0.3386,0
CUST_00041,2024-12-28,581,18,5,156.79,30,180,6,0.4436,0
CUST_00042,2025-11-16,258,24,4,169.44,28,140,6,0.3642,0
CUST_00043,2025-02-28,519,74,9,361.94,45,135,7,0.0719,0
CUST_00044,2026-03-09,145,20,9,463.91,63,315,6,0.3012,0
CUST_00045,2025-03-20,499,34,9,462.6,27,135,8,0.213,0
CUST_00046,2024-10-09,661,25,8,325.78,40,200,8,0.1648,0
CUST_00047,2026-06-27,35,16,9,283.71,18,54,6,0.0866,0
CUST_00048,2026-02-01,181,131,8,405.22,16,112,7,0.4426,1
CUST_00049,2025-10-17,288,71,3,115.93,18,126,3,0.3031,1
CUST_00050,2025-06-25,402,8,6,337.96,42,168,5,0.3198,0
CUST_00051,2024-11-24,615,36,7,247.28,35,105,4,0.3746,0
CUST_00052,2025-09-05,330,71,6,153.64,18,180,5,0.2104,1
CUST_00053,2026-07-04,28,39,6,233.19,24,120,6,0.1438,1
CUST_00054,2025-11-18,256,30,5,237.55,35,385,2,0.3628,0
